data,Showalterindex,Liftedindex,LIFTcomputedusingvirtualtemperature,Kindex,Crosstotalsindex,Verticaltotalsindex,Totalstotalsindex,ConvectiveAvailablePotentialEnergy,CAPEusingvirtualtemperature,ConvectiveInhibition,CINSusingvirtualtemperature,Temp[K]oftheLiftedCondensationLevel,Pres[hPa]oftheLiftedCondensationLevel,Equivalentpotentialtemp[K]oftheLCL,Meanmixedlayerpotentialtemperature,Meanmixedlayermixingratio,1000hPato500hPathickness,Precipitablewater[mm]forentiresounding,contagem_raios,sim_nao,shear_index,BRNSH_index,shear_0_15000,shear_6000_15000,BRNSH_500_15000,BRNSH_6000_15000,EL,EL (Tv),LFC,LFC (Tv),Prof_cam_convec,Prof_cam_tv
2001-01-18,1.51,0.59,0.05,27.7,17.1,28.1,45.2,86.35,111.3,-555.62,-439.93,286.13,821.89,337.1,302.64,11.6,5784.0,24.3,961,sim,11.33471917245514,0.01463973334694257,7.756230899147005,3.713427559729168,8.405434979532531,8.47525302713638,391.83,389.8,485.45,498.02,93.62,108.21999999999997
2001-01-19,-1.54,-2.96,-3.68,13.7,21.3,27.3,48.6,930.98,1063.02,-195.78,-102.21,289.19,842.93,344.85,303.68,13.82,5777.0,25.07,15249,sim,7.316744021957174,3.324428665155745,7.41935919259878,14.399484750913322,12.9425694007327,2.447919846949476,183.2,183.07,622.84,653.61,439.64000000000004,470.54
2001-01-20,3.68,1.97,1.89,3.5,16.9,24.9,41.8,0.0,0.0,0.0,0.0,283.27,793.74,332.18,302.62,9.93,5750.0,20.74,5100,sim,2.151875436362586,0.7407016708932811,6.728050205214344,7.131845624773457,0.1959818885564785,0.4465273408493166,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-21,1.98,1.13,1.04,27.1,19.7,23.3,43.0,0.09,1.91,-174.04,-122.56,286.0,832.6,334.94,301.39,11.33,5728.0,32.63,3211,sim,6.17328,1.931114357005586,7.20216,10.629918909292073,6.665419977666465,2.51360901673128,547.79,541.01,552.03,563.45,4.240000000000009,22.440000000000055
2001-01-23,-0.1,-0.19,-0.56,19.0,21.2,23.5,44.7,36.28,67.23,-156.34,-107.02,287.94,838.24,340.89,302.84,12.8,5759.0,36.25,14879,sim,3.398868253580289,2.743210305137478,4.846945824114698,3.176677462336265,3.6834839277698856,3.288201960446414,398.97,392.08,620.88,634.61,221.90999999999997,242.53000000000003
2001-01-25,0.22,-0.25,-0.4,31.7,19.7,25.7,45.4,21.14,33.84,-213.38,-172.06,288.02,839.19,341.04,302.84,12.85,5773.0,38.96,14620,sim,5.099083939634511,15.43244713149905,5.556671813455837,8.745480000000002,16.0465218526712,5.842607994716982,482.53,377.8,592.89,610.26,110.36000000000001,232.45999999999998
2001-01-26,-0.62,-0.63,-0.83,34.5,20.7,25.7,46.4,52.16,75.09,-168.78,-133.48,288.4,844.91,341.48,302.63,13.1,5765.0,38.34,559,sim,2.05776,2.015915563903537,13.37544,12.155382019281818,3.690925832220373,8.311602855513643,471.27,459.49,639.2,653.2,167.93000000000006,193.71000000000004
2001-01-27,0.62,0.04,-0.47,33.3,19.3,25.3,44.6,40.23,66.26,-146.81,-117.58,286.54,805.39,341.29,304.84,12.17,5775.0,36.38,15621,sim,8.582990371485316,9.545742522288636,14.274631656470271,10.855644229127437,19.633739415666817,2.2740564712661384,313.24,312.19,631.18,637.48,317.93999999999994,325.29
2001-01-28,2.18,1.35,1.12,28.1,16.1,28.1,44.2,0.0,0.0,0.0,0.0,284.89,801.06,336.25,303.54,10.98,5782.0,30.41,5507,sim,15.42641216230416,1.472416112334465,11.158822871489766,5.645910609402273,10.867186914646638,3.557945761047264,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-29,2.14,3.17,3.05,26.9,16.1,27.1,43.2,0.0,0.0,0.0,0.0,286.03,825.29,336.22,302.18,11.46,5793.0,32.52,5384,sim,7.632597808438124,5.761237753874429,20.34763846795722,13.202832585155706,10.3963680730232,1.086490899751514,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,1.66,1.01,0.58,31.0,18.6,23.5,42.1,39.51,61.36,-163.65,-116.39,287.32,818.75,341.86,304.22,12.61,5780.0,34.97,15841,sim,3.618962879317578,0.6705032199036765,9.05515488191973,10.462863007286266,3.2141100576739543,1.670738741760582,523.03,514.63,623.14,639.37,100.11000000000001,124.74000000000001
2001-01-31,0.01,-1.22,-1.46,31.6,20.4,24.3,44.7,131.07,170.03,-162.78,-115.48,289.01,837.81,345.02,304.01,13.73,5785.0,40.02,18369,sim,2.701386560316218,1.232579696901445,17.85040084632275,17.320010408380394,6.050138194893646,3.5689857807681094,400.21,397.76,613.75,629.18,213.54000000000002,231.41999999999996
2001-02-01,3.88,0.73,0.6,30.9,15.5,24.5,40.0,25.51,37.11,-138.15,-101.25,288.56,841.98,342.59,303.11,13.27,5783.0,40.06,3418,sim,4.956287997869742,7.692843116398793,6.668668366254746,10.906061107670167,6.329295928136601,2.0635108516692338,557.24,556.04,659.92,679.05,102.67999999999995,123.00999999999999
2001-02-02,-0.64,-1.71,-2.21,36.7,20.6,24.9,45.5,295.58,414.83,-20.36,-13.08,289.0,823.9,347.39,305.46,13.97,5788.0,39.85,6999,sim,6.269911812898266,18.15234699728513,12.852070246128026,10.139723088260029,16.098647865444473,1.09085082614062,219.98,220.24,786.87,796.32,566.89,576.08
2001-02-03,1.01,-0.79,-1.15,32.3,18.5,25.5,44.0,173.28,239.17,-114.43,-82.02,288.02,816.1,344.92,305.25,13.21,5779.0,37.78,7975,sim,3.187255002975391,3.978392380926475,10.471515772168312,12.500358637976523,2.9185000185509784,3.6950149393608367,389.9,387.47,694.52,714.29,304.62,326.81999999999994
2001-02-04,2.09,2.15,1.77,31.1,17.3,25.3,42.6,0.0,0.0,0.0,-225.56,284.85,789.01,338.11,304.81,11.13,5778.0,35.43,13658,sim,7.20216,13.97458741700629,5.1444,4.465771503962812,9.511090898238749,2.5870318363121285,0.0,593.72,0.0,596.36,0.0,2.6399999999999864
2001-02-05,0.33,0.23,0.01,34.1,19.1,26.1,45.2,0.0,1.95,0.0,-190.73,287.1,817.18,341.32,304.16,12.45,5783.0,38.77,16834,sim,8.23104,13.11976254344912,13.88988,16.751343138064158,10.767753765123626,1.7500347013992712,0.0,597.45,0.0,649.75,0.0,52.299999999999955
2001-02-07,2.8,2.47,1.71,27.1,18.3,20.5,38.8,0.0,0.85,0.0,-258.1,288.25,840.27,341.72,302.97,13.03,5790.0,33.21,2194,sim,12.23816712384994,5.490489257632849,4.604910574834685,11.16225032681321,6.986093890750723,0.7062918296001617,0.0,364.72,0.0,587.18,0.0,222.45999999999992
2001-02-08,1.8,0.51,-0.31,24.6,18.8,22.3,41.1,196.11,255.52,-337.15,-113.54,289.61,853.58,344.69,303.03,14.03,5798.0,27.5,11088,sim,14.40432,1.838161299054654,9.40560675237014,18.67727682072152,2.1227599316567263,7.008282922685954,265.97,265.4,476.62,671.78,210.64999999999998,406.38
2001-02-09,1.07,-0.89,-1.14,34.5,19.8,23.3,43.1,142.36,215.27,-11.81,-7.01,289.56,855.27,344.19,302.8,13.95,5760.0,41.76,2639,sim,5.067834338769591,10.95265954673375,11.811570563691497,16.710678715154327,5.061773130624097,3.5439425074785667,337.27,332.97,822.23,830.65,484.96000000000004,497.67999999999995
2001-02-10,0.62,-0.57,-0.76,35.1,19.3,25.3,44.6,124.92,172.34,-76.27,-59.3,288.1,830.21,342.84,303.85,13.1,5768.0,40.91,8268,sim,5.65884,37.66719541570497,16.97652,22.449145739727594,11.903672444370716,7.212514159980039,291.61,290.59,711.58,730.74,419.97,440.15000000000003
2001-02-11,2.34,2.22,2.08,31.8,18.2,22.7,40.9,0.0,0.0,0.0,0.0,287.52,837.94,339.41,302.43,12.46,5763.0,39.65,1183,sim,1.499592707850693,3.712226728045621,25.143084865638333,26.195031148263134,4.079557725818629,15.473645041883197,0.0,0.0,0.0,0.0,0.0,0.0
2001-02-12,0.74,0.22,-0.26,30.3,19.1,25.1,44.2,20.59,36.72,-234.56,-189.73,287.46,821.93,341.84,304.05,12.68,5785.0,38.31,5515,sim,20.5776,29.10227575387982,39.61188,22.433123332967707,86.81583082222275,15.11244698095148,506.28,453.2,576.08,587.08,69.80000000000007,133.88000000000005
2001-02-13,1.49,0.91,0.76,34.2,19.9,21.9,41.8,0.44,9.14,-93.95,-76.51,288.49,852.05,340.66,302.02,13.05,5760.0,41.92,1867,sim,12.91954055724588,0.224053954016779,36.65542938702533,46.58013752217567,32.444969045445085,37.002409863207085,576.33,539.33,636.51,697.86,60.17999999999995,158.52999999999997
2001-02-14,2.06,1.9,1.81,32.9,18.1,24.1,42.2,0.0,0.0,0.0,0.0,286.33,819.13,338.25,303.14,11.79,5758.0,39.25,1352,sim,29.47534167189244,140.9244108498452,19.331712023659428,39.86163162308337,85.39652820833723,41.252918624414725,0.0,0.0,0.0,0.0,0.0,0.0
2001-02-15,0.96,0.62,0.47,33.5,18.7,25.7,44.4,0.0,0.0,0.0,0.0,286.22,806.88,339.88,304.34,11.91,5782.0,36.38,7827,sim,4.004221293936407,22.41332669441115,11.051649623798482,14.863680326874167,3.429699301711127,7.822510398104067,0.0,0.0,0.0,0.0,0.0,0.0
2001-02-16,-0.87,-0.49,-0.85,33.4,21.4,24.5,45.9,82.09,130.69,-128.45,-97.1,287.44,819.9,342.12,304.23,12.66,5773.0,36.05,16694,sim,3.457663163445981,5.120810751841135,4.825469316443861,7.107070253693722,0.3709234310933779,2.96826542445378,386.64,385.54,653.48,670.08,266.84000000000003,284.54
2001-02-17,-0.39,-0.57,-0.7,35.9,19.9,26.9,46.8,99.54,121.35,-174.86,-151.2,289.02,863.08,340.85,301.45,13.34,5760.0,40.97,3803,sim,3.481741378371735,9.381235226602929,4.34188329841564,7.74339267261298,4.51102987737378,10.009157992037215,470.11,462.62,676.63,689.35,206.51999999999998,226.73000000000002
2001-02-18,3.6,0.63,0.21,29.3,14.5,27.5,42.0,0.79,14.18,-232.08,-176.16,286.35,815.89,338.87,303.51,11.87,5769.0,28.52,12100,sim,2.5722,4.549805501984684,6.6877200000000006,8.150071597892339,1.068842624988054,6.367419063832875,608.4,510.28,619.96,673.41,11.56000000000006,163.13
2001-02-19,1.57,-0.63,-1.25,26.7,17.3,27.3,44.6,51.95,152.31,-144.86,-97.6,286.87,811.52,341.45,304.52,12.33,5772.0,27.09,3158,sim,12.49946255756929,19.16515375795652,5.529262670796067,16.143332102590236,6.146614875701457,6.566304311615859,356.78,352.27,634.68,731.44,277.9,379.1700000000001
2001-02-20,0.74,-0.75,-1.57,35.1,19.1,24.1,43.2,754.9,873.37,-62.98,-44.41,290.51,858.22,347.5,303.51,14.79,5772.0,40.39,4834,sim,9.896168888602352,16.76171659180025,7.249447450027826,16.321244623524578,4.4700340179155535,4.936904528073568,182.94,182.94,736.19,757.64,553.25,574.7
2001-02-21,5.99,1.08,0.54,25.9,12.1,26.1,38.2,18.05,47.3,-169.91,-130.84,286.99,830.09,338.77,302.68,12.13,5758.0,31.57,1895,sim,5.597355232808646,4.413269304200895,5.390913005635218,10.574664989903292,4.420003085831033,3.1877338735604983,412.89,401.75,646.09,664.39,233.20000000000005,262.64
2001-02-23,-0.64,-3.14,-3.61,30.7,20.1,28.1,48.2,722.82,847.72,-133.49,-88.56,289.05,846.05,343.79,303.21,13.66,5756.0,30.5,15313,sim,8.74548,1.663097476024171,17.49096,15.757683943216328,15.776901426572676,7.622344544438479,225.85,225.68,706.24,725.79,480.39,500.10999999999996
2001-02-24,1.83,-1.39,-1.87,28.7,17.1,28.1,45.2,132.24,194.24,-205.62,-154.8,287.01,826.79,339.41,303.06,12.26,5748.0,26.95,6513,sim,4.11552,3.565040158027569,14.91876,10.872986169094077,13.96937469850872,2.1904238052021947,484.67,478.99,678.87,700.46,194.2,221.47000000000003
2001-02-25,-0.64,-1.47,-2.04,29.2,21.0,25.7,46.7,211.31,329.16,-108.61,-66.85,289.48,866.08,342.11,301.63,13.71,5752.0,30.85,6710,sim,8.281462367322307,1.753396099131643,16.52787563635643,11.531607630419735,8.040052539498399,4.441221197782397,288.73,289.97,656.06,701.07,367.3299999999999,411.1
2001-02-26,1.26,-0.22,-0.98,27.3,18.9,24.9,43.8,168.56,272.65,-174.18,-93.21,288.74,852.83,341.46,302.18,13.27,5762.0,26.18,3423,sim,8.23104,0.1874186260604581,11.31768,7.001685819532629,5.361867786324073,7.262798318484174,305.61,303.67,566.76,654.73,261.15,351.06
